"state_usa","average_income","minimum_income","maximum_income","conviction_per_capita","total_income_state","percentage_income_state","percentage_convictions_state"
"Maryland","89392","42343","167535","1.38","299270","2.9100","1.6287"
"Massachusetts","82427","38980","144960","2.27","266367","2.5900","2.6791"
"New Jersey","81740","39625","161372","1.90","282737","2.7500","2.2424"
"California","80440","37698","149265","1.09","267403","2.6000","1.2864"
"Connecticut","79287","37426","142596","2.01","259309","2.5200","2.3722"
"New Hampshire","78676","38121","138525","0.51","255322","2.4800","0.6019"
"Hawaii","78084","36987","130299","0.43","245370","2.3900","0.5075"
"Washington","77338","36118","142957","2.53","256413","2.4900","2.9860"
"Alaska","76440","35219","134318","1.06","245977","2.3900","1.2510"
"Colorado","76240","35636","130714","0.80","242590","2.3600","0.9442"
"Virginia","75417","34723","151753","1.57","261893","2.5500","1.8529"
"Utah","72558","33432","130461","1.13","236451","2.3000","1.3336"
"Minnesota","72027","33578","124913","0.68","230518","2.2400","0.8025"
"Illinois","70387","32737","126359","1.27","229483","2.2300","1.4989"
"New York","70137","33332","128558","1.59","232027","2.2600","1.8765"
"Pennsylvania","65135","30524","119394","1.25","215053","2.0900","1.4753"
"Rhode Island","64962","30811","128555","8.35","224328","2.1800","9.8548"
"Delaware","64040","30544","120324","1.08","214908","2.0900","1.2746"
"Oregon","63835","29709","120548","1.87","214092","2.0800","2.2070"
"Wisconsin","63795","29622","117154","1.09","210571","2.0500","1.2864"
"North Dakota","63715","30750","95621","0.57","190086","1.8500","0.6727"
"Texas","63656","29537","116343","1.82","209536","2.0400","2.1480"
"Arizona","62283","29466","113589","1.40","205338","2.0000","1.6523"
"Iowa","62075","28709","101572","0.58","192356","1.8700","0.6845"
"Michigan","61347","28357","111915","1.00","201619","1.9600","1.1802"
"Wyoming","60434","28973","104732","1.03","194139","1.8900","1.2156"
"Nevada","60106","26809","112808","1.63","199723","1.9400","1.9238"
"Nebraska","59929","27458","100060","0.57","187447","1.8200","0.6727"
"Kansas","59046","27487","100276","1.02","186809","1.8200","1.2038"
"Georgia","58932","27609","112609","1.60","199150","1.9400","1.8884"
"Vermont","58305","27663","104926","0.44","190894","1.8600","0.5193"
"Florida","58108","27064","105773","1.65","190945","1.8600","1.9474"
"Indiana","57881","27050","97462","0.90","182393","1.7700","1.0622"
"Ohio","56583","27214","97224","0.89","181021","1.7600","1.0504"
"South Dakota","56499","26356","90226","0.87","173081","1.6800","1.0268"
"Missouri","55685","26550","93281","1.50","175516","1.7100","1.7703"
"Tennessee","55107","25885","98512","3.69","179504","1.7500","4.3550"
"Maine","54927","25964","98362","0.48","179253","1.7400","0.5665"
"Montana","54875","25507","91862","1.09","172244","1.6700","1.2864"
"North Carolina","54560","26202","92266","1.05","173028","1.6800","1.2392"
"Idaho","53545","25119","92625","1.12","171289","1.6700","1.3218"
"South Carolina","52536","24334","96505","2.04","173375","1.6900","2.4076"
"Oklahoma","51424","25018","87833","3.23","164275","1.6000","3.8121"
"Alabama","51113","23999","96993","2.15","172105","1.6700","2.5375"
"Louisiana","50686","23855","93827","3.72","168368","1.6400","4.3904"
"Kentucky","50675","23915","88278","1.60","162868","1.5800","1.8884"
"Arkansas","48829","23028","90052","3.02","161909","1.5700","3.5643"
"New Mexico","48701","23313","78605","2.14","150619","1.4600","2.5257"
"Mississippi","47131","22732","81693","2.43","151556","1.4700","2.8679"
"West Virginia","46254","21967","85459","5.64","153680","1.4900","6.6564"
